Z   A   EL  Binding Energy 
1   1   H   0
1   2   H   1112.2831
1   3   H   2827.2654
2   3   He  2572.68044
3   3   Li  -2267#
1   4   H   1720.4491
2   4   He  7073.9156
3   4   Li  1153.7603
1   5   H   1336.3592
2   5   He  5512.1325
3   5   Li  5266.1325
4   5   Be  18#
1   6   H   961.6395
2   6   He  4878.5199
3   6   Li  5332.3312
4   6   Be  4487.2478
5   6   B   -467#
1   7   H   940#
2   7   He  4123.0578
3   7   Li  5606.4401
4   7   Be  5371.5487
5   7   B   3558.7055
2   8   He  3924.521
3   8   Li  5159.7124
4   8   Be  7062.4356
5   8   B   4717.1551
6   8   C   3101.5242
2   9   He  3349.038
3   9   Li  5037.7685
4   9   Be  6462.6693
5   9   B   6257.0713
6   9   C   4337.4233
2   10  He  2995.134
3   10  Li  4531.3512
4   10  Be  6497.6306
5   10  B   6475.0835
6   10  C   6032.0426
7   10  N   3643.6724
3   11  Li  4155.3817
4   11  Be  5952.5402
5   11  B   6927.7323
6   11  C   6676.4563
7   11  N   5358.4023
8   11  O   3162.4372
3   12  Li  3791.5999
4   12  Be  5720.7223
5   12  B   6631.2237
6   12  C   7680.1446
7   12  N   6170.11
8   12  O   4881.9755
3   13  Li  3507.6307
4   13  Be  5241.4359
5   13  B   6496.4194
6   13  C   7469.8495
7   13  N   7238.8634
8   13  O   5811.7636
9   13  F   4297#
4   14  Be  4993.8973
5   14  B   6101.6451
6   14  C   7520.3198
7   14  N   7475.6148
8   14  O   7052.2783
9   14  F   5285.2091
4   15  Be  4540.9708
5   15  B   5880.0438
6   15  C   7100.1696
7   15  N   7699.4603
8   15  O   7463.6915
9   15  F   6497.4597
10  15  Ne  4868.7285
4   16  Be  4285.2851
5   16  B   5507.3535
6   16  C   6922.0546
7   16  N   7373.7971
8   16  O   7976.2072
9   16  F   6964.049
10  16  Ne  6083.1777
5   17  B   5269.6677
6   17  C   6558.0262
7   17  N   7286.2294
8   17  O   7750.7291
9   17  F   7542.3284
10  17  Ne  6640.4991
11  17  Na  5522.7653
5   18  B   4976.6306
6   18  C   6426.1321
7   18  N   7038.5627
8   18  O   7767.0981
9   18  F   7631.6383
10  18  Ne  7341.2577
11  18  Na  6202.2176
5   19  B   4719.6346
6   19  C   6118.274
7   19  N   6948.5452
8   19  O   7566.4952
9   19  F   7779.0192
10  19  Ne  7567.3431
11  19  Na  6937.8864
12  19  Mg  5901.4992
5   20  B   4405.6529
6   20  C   5961.4356
7   20  N   6709.1717
8   20  O   7568.5707
9   20  F   7720.1351
10  20  Ne  8032.2412
11  20  Na  7298.5028
12  20  Mg  6728.0252
5   21  B   4152.5265
6   21  C   5674#
7   21  N   6609.0159
8   21  O   7389.3747
9   21  F   7738.2934
10  21  Ne  7971.7136
11  21  Na  7765.5581
12  21  Mg  7105.0317
13  21  Al  6297#
6   22  C   5421.0778
7   22  N   6378.5347
8   22  O   7364.8722
9   22  F   7624.2954
10  22  Ne  8080.4656
11  22  Na  7915.6624
12  22  Mg  7662.7645
13  22  Al  6782#
14  22  Si  6044#
6   23  C   5077#
7   23  N   6236.6721
8   23  O   7163.4856
9   23  F   7622.3447
10  23  Ne  7955.2561
11  23  Na  8111.4936
12  23  Mg  7901.1229
13  23  Al  7335.7275
14  23  Si  6554#
7   24  N   5887#
8   24  O   7039.6855
9   24  F   7463.5831
10  24  Ne  7993.3252
11  24  Na  8063.4882
12  24  Mg  8260.7103
13  24  Al  7649.5806
14  24  Si  7167.2329
15  24  P   6165#
7   25  N   5613#
8   25  O   6727.8058
9   25  F   7336.3065
10  25  Ne  7839.7994
11  25  Na  8101.3979
12  25  Mg  8223.5028
13  25  Al  8021.1366
14  25  Si  7480.1109
15  25  P   6794#
8   26  O   6497.479
9   26  F   7082.2497
10  26  Ne  7751.911
11  26  Na  8004.2013
12  26  Mg  8333.8711
13  26  Al  8149.7653
14  26  Si  7924.7083
15  26  P   7198#
16  26  S   6525#
8   27  O   6185#
9   27  F   6879.6662
10  27  Ne  7520.4151
11  27  Na  7956.9467
12  27  Mg  8263.8525
13  27  Al  8331.5533
14  27  Si  8124.342
15  27  P   7661.0894
16  27  S   6960#
8   28  O   5988#
9   28  F   6626.8567
10  28  Ne  7388.3463
11  28  Na  7799.2644
12  28  Mg  8272.4531
13  28  Al  8309.8969
14  28  Si  8447.7445
15  28  P   7907.4842
16  28  S   7478.7911
17  28  Cl  6587#
9   29  F   6444.0314
10  29  Ne  7167.0673
11  29  Na  7682.1522
12  29  Mg  8113.5317
13  29  Al  8348.4647
14  29  Si  8448.6361
15  29  P   8251.2368
16  29  S   7746.3826
17  29  Cl  7129#
18  29  Ar  6276#
9   30  F   6205#
10  30  Ne  7034.5317
11  30  Na  7501.9685
12  30  Mg  8054.425
13  30  Al  8261.1049
14  30  Si  8520.6549
15  30  P   8353.5064
16  30  S   8122.7081
17  30  Cl  7472.1698
18  30  Ar  6866#
9   31  F   6011#
10  31  Ne  6813.0902
11  31  Na  7398.6778
12  31  Mg  7869.1886
13  31  Al  8225.518
14  31  Si  8458.2916
15  31  P   8481.1677
16  31  S   8281.8013
17  31  Cl  7869.2101
18  31  Ar  7252#
19  31  K   6487#
10  32  Ne  6671#
11  32  Na  7219.8815
12  32  Mg  7803.8411
13  32  Al  8100.3449
14  32  Si  8481.469
15  32  P   8464.1203
16  32  S   8493.1301
