delta,Rq,g,a_e
-0.002,0.998,1.992008,-0.0039959999999999996
-0.0019500000000000001,0.99805,1.992207605,-0.0038961975000000315
-0.0019,0.9981,1.99240722,-0.003796389999999983
-0.00185,0.99815,1.9926068449999998,-0.0036965775000000756
-0.0018,0.9982,1.9928064799999998,-0.0035967600000000877
-0.00175,0.99825,1.993006125,-0.003496937500000019
-0.0017000000000000001,0.9983,1.9932057799999998,-0.003397110000000092
-0.00165,0.99835,1.9934054449999998,-0.0032972775000000842
-0.0016,0.9984,1.9936051199999998,-0.003197440000000107
-0.00155,0.99845,1.993804805,-0.003097597500000049
-0.0015,0.9985,1.9940045000000002,-0.00299774999999991
-0.00145,0.99855,1.9942042050000002,-0.002897897499999913
-0.0014,0.9986,1.99440392,-0.002798039999999946
-0.00135,0.99865,1.9946036450000002,-0.0026981774999998986
-0.0013,0.9987,1.9948033800000002,-0.0025983099999998815
-0.00125,0.99875,1.9950031250000002,-0.002498437499999895
-0.0012000000000000001,0.9988,1.9952028800000001,-0.0023985599999999385
-0.00115,0.99885,1.995402645,-0.0022986775000000126
-0.0010999999999999998,0.9989,1.99560242,-0.002198790000000006
-0.0010500000000000002,0.99895,1.995802205,-0.00209889750000003
-0.001,0.999,1.996002,-0.001998999999999973
-0.0009499999999999999,0.99905,1.9962018049999999,-0.0018990975000000576
-0.0009,0.9991,1.9964016199999999,-0.0017991900000000616
-0.0008500000000000001,0.99915,1.996601445,-0.001699277499999985
-0.0007999999999999999,0.9992,1.99680128,-0.0015993600000000496
-0.00075,0.99925,1.997001125,-0.0014994375000000337
-0.0006999999999999999,0.9993,1.99720098,-0.0013995100000000482
-0.00065,0.99935,1.9974008449999998,-0.001299577500000093
-0.0006000000000000001,0.9994,1.9976007199999999,-0.0011996400000000573
-0.0005499999999999999,0.99945,1.997800605,-0.001099697500000052
-0.0005,0.9995,1.9980005000000003,-0.000999749999999855
-0.0004499999999999999,0.99955,1.9982004050000002,-0.0008997974999999103
-0.00039999999999999996,0.9996,1.9984003200000002,-0.0007998399999998851
-0.00035000000000000005,0.99965,1.9986002450000002,-0.0006998774999998902
-0.0002999999999999999,0.9997,1.9988001800000001,-0.0005999099999999258
-0.00025,0.99975,1.999000125,-0.0004999374999999917
-0.00019999999999999987,0.9998,1.99920008,-0.000399959999999977
-0.00014999999999999996,0.99985,1.999400045,-0.0002999774999999927
-0.00010000000000000005,0.9999,1.9996000200000001,-0.00019998999999992773
-4.9999999999999914e-05,0.99995,1.999800005,-9.999750000000418e-05
0.0,1.0,2.0,0.0
5.000000000000013e-05,1.00005,2.0002000050000004,0.00010000250000019584
0.00010000000000000026,1.0001,2.00040002,0.0002000099999999172
0.00014999999999999996,1.00015,2.0006000450000005,0.0003000225000002743
0.0002000000000000001,1.0002,2.00080008,0.0004000399999999349
0.0002500000000000002,1.00025,2.0010001250000005,0.0005000625000002312
0.0002999999999999999,1.0003,2.0012001799999997,0.000600089999999831
0.00035000000000000005,1.00035,2.001400245,0.0007001225000000666
0.0004000000000000002,1.0004,2.0016003199999997,0.0008001599999998277
0.0004499999999999999,1.00045,2.0018004050000004,0.0009002025000002245
0.0005,1.0005,2.0020005,0.0010002499999999248
0.0005500000000000001,1.00055,2.002200605,0.0011003025000000388
0.0006000000000000003,1.0006,2.00240072,0.0012003599999999004
0.00065,1.00065,2.0026008450000004,0.0013004225000001757
0.0007000000000000001,1.0007,2.0028009799999995,0.0014004899999997544
0.0007500000000000002,1.00075,2.003001125,0.001500562499999969
0.0007999999999999999,1.0008,2.00320128,0.001600639999999931
0.0008500000000000001,1.00085,2.003401445,0.0017007225000000847
0.0009000000000000002,1.0009,2.0036016199999995,0.001800809999999764
0.0009499999999999999,1.00095,2.003801805,0.001900902500000079
0.001,1.001,2.0040019999999994,0.0020009999999996975
0.0010500000000000002,1.00105,2.004202205,0.0021011024999999517
0.0011000000000000003,1.0011,2.0044024200000004,0.0022012100000001755
0.00115,1.00115,2.004602645,0.002301322499999925
0.0012000000000000001,1.0012,2.00480288,0.002401440000000088
0.0012500000000000002,1.00125,2.005003125,0.0025015624999999986
0.0013,1.0013,2.00520338,0.002601690000000101
0.00135,1.00135,2.005403645,0.0027018224999999507
0.0014000000000000002,1.0014,2.0056039200000004,0.0028019600000002143
0.0014500000000000003,1.00145,2.005804205,0.0029021025000000034
0.0015,1.0015,2.0060045000000004,0.003002250000000206
0.0015500000000000002,1.00155,2.006204805,0.0031024024999999344
0.0016000000000000003,1.0016,2.00640512,0.0032025600000000765
0.00165,1.00165,2.006605445,0.003302722499999966
0.0017000000000000001,1.0017,2.00680578,0.0034028900000000473
0.0017500000000000003,1.00175,2.0070061249999998,0.003503062499999876
0.0018,1.0018,2.0072064800000002,0.0036032400000001186
0.00185,1.00185,2.0074068449999998,0.0037034224999998866
0.0019000000000000002,1.0019,2.00760722,0.0038036100000000683
0.0019500000000000003,1.00195,2.0078076049999996,0.0039038024999997756
0.002,1.002,2.008008,0.0040039999999998965
