Q2,xBj,sigma,d stat,d uncor,d cor,d rel,d p,d had,d 1,d 2,d 3,d 4,d tot
0.15,0.502x10-5,0.185,3.79,1.5,3.62,1.39,0.35,-0.21,-0.17,-0.01,0,0.01,5.65
0.2,0.669x10-5,0.227,1.65,0.78,1.7,0.86,0.57,0,0,0,0,0.01,2.7
0.2,0.849x10-5,0.223,1.61,0.61,2.19,1.06,0.55,-0.26,-0.06,0,0,0,3.04
0.2,0.110x10-4,0.208,2.79,1.5,2.83,1.01,0.34,-0.08,-0.18,0,0,0.01,4.38
0.2,0.398x10-4,0.211,14.93,11.96,5.18,0.33,4.7,2.93,1.57,-0.03,-0.02,0.15,20.64
0.2,0.251x10-3,0.18,13.49,6.17,3,0.32,1.39,-1.67,1.19,0.01,0.02,0.02,15.34
0.25,0.836x10-5,0.265,1.46,0.73,1.92,1.17,0.63,-0.23,0.45,0,0,0.01,2.89
0.25,0.106x10-4,0.26,1.29,0.66,1.84,1.11,0.63,-0.1,0.32,0,0,0.01,2.69
0.25,0.138x10-4,0.249,1.27,0.72,1.85,1.24,0.61,-0.22,0.08,0,0,0,2.74
0.25,0.230x10-4,0.243,1.41,1.5,2.37,2.23,0.38,-0.6,0.43,0,-0.02,0.01,3.94
0.25,0.398x10-4,0.236,3.32,1.54,2.79,0.5,1.03,0.29,0.21,0,0.01,0.02,4.76
0.25,0.110x10-3,0.199,3.96,1.5,2.5,0.77,0.32,0.06,-0.58,0,0,0.01,5.02
0.25,0.251x10-3,0.196,3.75,1.44,3.26,-0.23,0.35,0.51,-0.21,0.01,0.02,0.02,5.22
0.25,0.394x10-3,0.194,4.16,1.5,3.61,1.65,0.46,-0.29,-0.2,0,0,0.02,5.97
0.25,0.158x10-2,0.198,11,5.29,2.41,0.29,0.01,-1.76,1.08,0.01,0.03,0.02,12.61
0.35,0.512x10-5,0.436,22.08,12.79,1.83,0.22,1.82,-0.44,1.33,-0.03,0,0.03,25.68
0.35,0.100x10-4,0.345,1.63,0.8,1.8,1.11,0.6,-0.38,0.12,0,0,0.01,2.87
0.35,0.127x10-4,0.324,1.44,0.79,1.86,1.16,0.58,-0.16,-0.03,0,0,0.01,2.81
