Q2,xBj,sigma_theory
0.15,5.02e-06,0.185
0.2,6.69e-06,0.22867700009912392
0.2,8.49e-06,0.219932219078976
0.2,1.1e-05,0.20940743571313947
0.2,3.98e-05,0.21098331006528
0.2,0.000251,0.18000003504348078
0.25,8.36e-06,0.2561349523594152
0.25,1.06e-05,0.25479466382328353
0.25,1.38e-05,0.25290481951595195
0.25,2.3e-05,0.247633249417881
0.25,3.98e-05,0.2386174455122217
0.25,0.00011,0.20907953922212325
0.25,0.000251,0.18477950083462075
0.25,0.000394,0.1980775308232781
0.25,0.00158,0.19797829849122525
0.35,5.12e-06,0.35207498849771957
0.35,1e-05,0.3473513032776852
0.35,1.27e-05,0.3447748580348414
0.35,1.65e-05,0.34119332488178455
0.35,3.2e-05,0.32712048552839207
0.35,6.62e-05,0.29906247061683316
0.35,0.00013,0.2573184731611404
0.35,0.00022,0.22038579376554582
0.35,0.0005,0.2437350514303959
0.35,0.00251,0.20098325080566287
0.4,1.33e-05,0.3493718427663645
0.4,1.7e-05,0.3472351866713147
0.4,2.2e-05,0.344413419556903
0.4,3.68e-05,0.33649386345245763
0.4,8.83e-05,0.3136586024810162
0.4,0.000176,0.2891774427286933
0.4,0.000294,0.27664516891816726
0.4,0.000631,0.2600044734250837
0.5,7.32e-06,0.40359365115569495
0.5,1.58e-05,0.39927674447080713
0.5,2.12e-05,0.39657066362766985
0.5,2.76e-05,0.39340646530955753
0.5,3.98e-05,0.3875031992209312
0.5,0.0001,0.36079492079211156
0.5,0.000251,0.31054347525728127
0.5,0.000368,0.28666139110727323
0.5,0.0008,0.2896726346723153
0.5,0.0032,0.18197685438635638
0.65,9.52e-06,0.46259594800033216
0.65,1.58e-05,0.45931443841885033
0.65,3.98e-05,0.44716105012829366
0.65,5.98e-05,0.43749685718645154
0.65,0.0001,0.419321527634522
0.65,0.000251,0.36520267871198014
0.65,0.000478,0.3214476973984365
0.65,0.0008,0.3214814649796132
0.65,0.0032,0.2239783375415189
0.85,1.24e-05,0.5836413752484807
0.85,2e-05,0.5758502576760953
0.85,3.98e-05,0.5561674777428901
0.85,5e-05,0.5463717659256137
0.85,0.0001,0.5016724944428642
0.85,0.000251,0.3984455578110946
0.85,0.0008,0.34884938510891766
0.85,0.0032,0.30800168604404504
1.2,1.76e-05,0.6464389825099048
1.2,2e-05,0.6444322253528593
1.2,3.2e-05,0.6348806782392837
1.2,6.31e-05,0.6133958587767281
1.2,8e-05,0.6033235778593058
1.2,0.00013,0.5776006640686944
1.2,0.000158,0.5644250966096116
1.2,0.000398,0.47090417478946867
1.2,0.0013,0.3736175782028706
1.2,0.005,0.2979811635912733
1.5,1.85e-05,0.6923011004809342
1.5,2.2e-05,0.6985215888720462
1.5,3.2e-05,0.7063366860373069
1.5,5e-05,0.6992529846861981
1.5,8e-05,0.6813394294289079
1.5,0.00013,0.6585322207794032
1.5,0.0002,0.6352170012499226
1.5,0.00032,0.6002362043581214
1.5,0.0005,0.5526374707075938
1.5,0.0008,0.4858214530825406
1.5,0.001,0.4495923318050917
1.5,0.0032,0.4112239181103969
1.5,0.013,0.32398761040153895
2.0,2.47e-05,0.7800915166302123
2.0,2.93e-05,0.7781108459012438
2.0,5e-05,0.7692625238427152
2.0,8e-05,0.7566261615256924
2.0,0.00013,0.7360552216003954
2.0,0.0002,0.7082751662852022
2.0,0.00032,0.6633795467395426
2.0,0.0005,0.6023523404966449
2.0,0.001,0.47065100602085735
2.0,0.0032,0.429228121744713
2.0,0.013,0.3579675492127793
2.7,3.09e-05,0.8899423619602802
2.7,3.66e-05,0.8834969242966753
2.7,4.09e-05,0.8787659138367663
2.7,5e-05,0.8691179965109453
2.7,8e-05,0.840635471861746
2.7,0.00013,0.8032400286970562
2.7,0.0002,0.7675941143374735
2.7,0.00032,0.7325075681304073
2.7,0.0005,0.6915203607055841
2.7,0.0008,0.6296976429963094
2.7,0.0013,0.5439833233687755
2.7,0.002,0.45810540321042703
2.7,0.005,0.4574361161043515
2.7,0.02,0.34495677398320296
3.5,4.06e-05,0.8675112678653127
3.5,4.32e-05,0.8900179707923083
3.5,4.6e-05,0.904153321834726
3.5,5.12e-05,0.9125428620511483
3.5,5.31e-05,0.9128246475383867
3.5,8e-05,0.9120059271061512
3.5,0.00013,0.9000763167129491
3.5,0.0002,0.8712362019944837
3.5,0.00032,0.8209761810337868
3.5,0.0005,0.7552795371195531
3.5,0.0008,0.6701157802406764
3.5,0.0013,0.588872359989409
3.5,0.002,0.5804504416862538
3.5,0.008,0.46193718403484924
4.5,5.22e-05,0.9037082251345406
4.5,5.92e-05,0.9896427669037638
4.5,6.18e-05,1.017376876597594
4.5,6.83e-05,1.0436788549736182
4.5,7.32e-05,1.0399236511525287
4.5,8.18e-05,1.0287637059464474
4.5,0.00013,0.9836142820177313
4.5,0.0002,0.9498068456507198
4.5,0.00032,0.9058876804344067
4.5,0.0005,0.8455059542611282
4.5,0.0008,0.7590022152183449
4.5,0.0013,0.6516985513210576
4.5,0.002,0.5712242891216536
4.5,0.0032,0.5892628269993209
4.5,0.013,0.42990327426714275
6.5,7.54e-05,1.1077215839418562
6.5,8.03e-05,1.105960590609914
6.5,8.55e-05,1.104096818714466
6.5,9.51e-05,1.100669608983934
6.5,9.86e-05,1.0994244859904678
